,Dataset,AdaBoost Mean,AdaBoost Std,AdaBoost+SPamCo Mean,AdaBoost+SPamCo Std,RandomForest Mean,RandomForest Std,RandomForest+SPamCo Mean,RandomForest+SPamCo Std,XGBoost Mean,XGBoost Std,XGBoost+SPamCo Mean,XGBoost+SPamCo Std
0,Wisconsin Breast Cancer,0.8894736842105264,0.020501225898196616,0.6894736842105262,0.25751520255286514,0.9187134502923977,0.029524925289741134,0.9198830409356725,0.018686017904877738,0.9111111111111111,0.030251502120181444,0.8526315789473683,0.049469674812997896
1,Digits,0.21759259259259262,0.04000385783865487,0.14796296296296294,0.0314754896258649,0.8277777777777777,0.022861184240016243,0.7657407407407406,0.020525503557679074,0.8203703703703704,0.02786406351674671,0.6822222222222223,0.04181414230341983
2,Blood Transfusion Service Center,0.7044444444444444,0.03362832433427011,0.7355555555555555,0.06622818765077429,0.7466666666666667,0.013626408637116356,0.7395555555555555,0.051838305108705185,0.7346666666666666,0.02186829262247563,0.7186666666666667,0.060026331670585714
3,Diabetes Health Indicators,0.8458688111005992,0.001457713397746162,0.8424130137706298,1.1102230246251565e-16,0.8437335751077473,0.0005753196881221489,0.828949858088931,0.0025100688651639095,0.841468253968254,0.0010790173671912193,0.8423683380637023,0.0001472843085167865
4,QSAR biodegradation,0.7372239747634068,0.039753892652328385,0.6558359621451105,0.07170604443980297,0.756782334384858,0.018201099983282856,0.7170347003154574,0.01877170416001492,0.7905362776025238,0.023445935868847995,0.7069400630914826,0.02830164645723266
5,EEG Eye State,0.7047841566533155,0.010189835726358409,0.54913217623498,0.03648873268318065,0.7744103248776145,0.009233757427014074,0.6232087227414331,0.012833015157783784,0.8283266577659102,0.008175412737781738,0.6149087672452158,0.03745664258680804
6,ILPD,0.6582857142857141,0.053714285714285714,0.6131428571428572,0.12563763897228652,0.7011428571428572,0.028000000000000004,0.6897142857142857,0.039511300372714345,0.6771428571428572,0.02345642943059863,0.6485714285714286,0.04970114768929037
7,KDD Cup .1%,0.8272841051314144,0.0034464892676411367,0.7662911973299958,0.19438280139579533,0.8231706299541092,0.0025103636235819377,0.7532332081768878,0.06373053653903817,0.8124989570296204,0.0020518872402833076,0.719674593241552,0.08996891340807701
8,Statlog-Landsat Satelite,0.4810264385692068,0.07811993994496315,0.3868325557283567,0.059243225510085804,0.8518403317781236,0.005845787603529478,0.7779160186625195,0.00997761426584475,0.860912389839295,0.009654139681021233,0.767236910316226,0.017212239269629555
9,ISOLET,0.09376068376068376,0.026436520561572394,0.0538034188034188,0.01902880653433418,0.8446581196581195,0.00605346066340239,0.7849999999999999,0.02374657547083692,0.8208974358974359,0.009289245767612826,0.7225213675213675,0.026844989185533172
