,Dataset,AdaBoost Mean,AdaBoost Std,AdaBoost+SPamCo Mean,AdaBoost+SPamCo Std,RandomForest Mean,RandomForest Std,RandomForest+SPamCo Mean,RandomForest+SPamCo Std,XGBoost Mean,XGBoost Std,XGBoost+SPamCo Mean,XGBoost+SPamCo Std
0,Wisconsin Breast Cancer,0.8894736842105264,0.020501225898196616,0.6292397660818713,0.2556592453606578,0.9163742690058478,0.03214247037113753,0.9216374269005847,0.02282949859174635,0.9111111111111111,0.030251502120181444,0.8730994152046783,0.042977483103328946
1,Digits,0.21759259259259262,0.04000385783865487,0.14129629629629628,0.0406821969940584,0.8242592592592592,0.022259998755202532,0.7716666666666667,0.015995755609875536,0.8203703703703704,0.02786406351674671,0.6655555555555555,0.046996191072347995
2,Blood Transfusion Service Center,0.7044444444444444,0.03362832433427011,0.735111111111111,0.0636409682477111,0.7426666666666667,0.02462158041682583,0.7315555555555555,0.07289972819133396,0.7346666666666666,0.02186829262247563,0.7097777777777778,0.07787422591415208
3,Diabetes Health Indicators,0.8458688111005992,0.001457713397746162,0.8424130137706298,1.1102230246251565e-16,0.8434681488489437,0.0005369403543250708,0.8331690844108062,0.0032097947877253994,0.841468253968254,0.0010790173671912193,0.8423801639861243,0.0001732526410838414
4,QSAR biodegradation,0.7372239747634068,0.039753892652328385,0.661198738170347,0.06830508976600473,0.7555205047318612,0.021821354707282352,0.7195583596214511,0.023200600641257906,0.7905362776025238,0.023445935868847995,0.7075709779179811,0.03435590480726471
5,EEG Eye State,0.7047841566533155,0.010189835726358409,0.5558522474410326,0.011008278536984687,0.7759457053849577,0.00920241490346224,0.634423676012461,0.013521187459626535,0.8283266577659102,0.008175412737781738,0.6291499777481085,0.025761732668299304
6,ILPD,0.6582857142857141,0.053714285714285714,0.6005714285714285,0.1276589845115909,0.6914285714285713,0.032826072265931594,0.6719999999999999,0.04615501830013409,0.6771428571428572,0.02345642943059863,0.6571428571428571,0.044848952846511046
7,KDD Cup .1%,0.8272841051314144,0.0034464892676411367,0.7546266166040885,0.19353181578199805,0.8228785982478097,0.0027151994659706863,0.74816854401335,0.053400093867333145,0.8124989570296204,0.0020518872402833076,0.7186816854401334,0.09990791479114013
8,Statlog-Landsat Satelite,0.4810264385692068,0.07811993994496315,0.3820632452047693,0.08328597425420906,0.8519958527734577,0.00916342937248744,0.7817003628823225,0.010954022801207056,0.860912389839295,0.009654139681021233,0.7665629860031103,0.019352558964177126
9,ISOLET,0.09376068376068376,0.026436520561572394,0.04517094017094018,0.00815791706150412,0.849059829059829,0.006892938514070407,0.8008547008547009,0.023598877211108024,0.8208974358974359,0.009289245767612826,0.7174358974358974,0.014002233106185884
